Umidade,Pressao,VelVento,TempMax,TempMin,Chuva
57,"890,7","3,1","24,7","15,5",0
73,893,"3,1","24,7","15,5",0
41,"889,9","3,1","24,7","15,5",0
64,"891,7","3,1","25,1",15,0
74,"893,1","3,1","25,1",15,0
49,"890,1","3,1","25,1",15,0
73,"891,6","2,1",26,15,0
78,"894,2","2,1",26,15,0
40,891,0,26,15,0
73,"891,5",0,26,"15,3",0
77,893,"3,1",26,"15,3",0
41,"889,2","3,1",26,"15,3",0
68,"887,5",1,26,"14,1",0
73,"891,8","3,1",26,"14,1",0
37,"888,6",1,26,"14,1",0
66,"890,6",1,"25,6",15,0
87,"892,4","3,1","25,6",15,0
43,"889,4","5,1","25,6",15,0
75,"890,8",0,"25,6","15,7",0
74,"893,1","2,1","25,6","15,7",0
45,"890,3","2,1","25,6","15,7",0
68,"891,4","2,1","26,2","16,3",0
74,"892,2",1,"26,2","16,3",0
43,"889,3","2,1","26,2","16,3",0
65,"890,5",1,"26,2","14,7",0
66,"891,5","3,1","26,2","14,7",0
43,"888,6","2,1","26,2","14,7",0
63,"890,7","3,1","26,5","14,1",0
71,"891,1","2,1","26,5","14,1",0
43,"888,6",1,"26,5","14,1",0
65,"889,9",1,"26,6","13,8",0
69,"891,4",1,"26,6","13,8",0
45,"888,6",1,"26,6","13,8",0
70,"890,7",1,"26,1","13,8",0
54,"891,4","3,1","26,1","13,8",0
30,"888,7","3,1","26,1","13,8",0
54,"889,9","3,1","26,3","16,1",0
65,"889,8","3,1","26,3","16,1",0
44,"888,5","3,1","26,3","16,1",0
68,"889,7","3,1","26,8","16,2",0
70,"892,2","3,1","26,8","16,2",0
36,889,"3,1","26,8","16,2",0
59,"890,6",1,"25,9","14,6",0
77,"893,3","3,1","25,9","14,6",0
50,"890,2","3,1","25,9","14,6",0
70,"890,8","3,1","24,6","13,4",0
66,"890,5","2,1","24,6","13,4",0
40,"889,5","4,1","24,6","13,4",0
55,889,"2,1","26,1","11,6",0
60,"889,5","2,1","26,1","11,6",0
31,"887,1",1,"26,1","11,6",0
55,"888,3",1,"26,5","15,1",0
49,"889,4","5,1","26,5","15,1",0
33,"886,8","3,1","26,5","15,1",0
76,"887,9",0,"26,5","12,2",0
64,"890,3",0,"26,5","12,2",0
43,"887,4",1,"26,5","12,2",0
68,"889,1","2,1","26,2","14,5",0
66,"890,9","3,1","26,2","14,5",0
41,"887,7","3,1","26,2","14,5",0
59,"888,6","2,1","26,5","12,8",0
66,890,"5,1","26,5","12,8",0
40,"886,9","3,1","26,5","12,8",0
62,"888,7",0,"25,9",15,0
66,"890,3","2,1","25,9",15,0
39,"887,5","3,1","25,9",15,0
57,"888,2",1,"26,5","11,8",0
53,"890,2","2,1","26,5","11,8",0
38,887,1,"26,5","11,8",0
69,"888,6",1,"27,1","14,7",0
58,"890,5",1,"27,1","14,7",0
36,"887,7",0,"27,1","14,7",0
54,"889,2",0,"26,7","12,9",0
45,"891,1","3,1","26,7","12,9",0
37,"888,2","3,1","26,7","12,9",0
54,"889,1",0,"27,4","13,2",0
48,"890,2","2,1","27,4","13,2",0
35,"887,4","3,1","27,4","13,2",0
62,"888,2",0,"27,5","12,2",0
57,"889,7",0,"27,5","12,2",0
31,"885,9",0,"27,5","12,2",0
67,"886,7",0,"27,9",13,0
55,"888,5",1,"27,9",13,0
32,"886,2","2,1","27,9",13,0
70,"888,3",1,"27,7",13,0
52,"890,2",1,"27,7",13,0
30,"887,3","2,1","27,7",13,0
62,"887,3",0,28,"12,4",0
46,"889,8",1,28,"12,4",0
25,"886,2",0,28,"12,4",0
45,"888,1",0,"27,8","11,9",0
41,"890,1",1,"27,8","11,9",0
31,"887,9",1,"27,8","11,9",0
58,"888,6",1,"26,2",12,0
52,"891,1","2,1","26,2",12,0
30,"887,3",2,"26,2",12,0
62,"890,3",1,25,"13,1",0
71,"890,2","4,1",25,"13,1",0
46,887,"2,1",25,"13,1",0
58,"888,6",1,26,13,0
64,"890,1",1,26,13,0
39,"886,2",1,26,13,0
